 ######################################################################
 #Data for Case=          18
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
 # 9.99999975E-05   10001     10000  3.75000000E+00  3.88851095E+00  2.43352343E+00  4.05441345E-02  1.34744846E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/U_AVG	
  4.09768349E-02  1.58344228E+00
  4.10580113E-02  1.58349869E+00
  4.11391959E-02  1.58355499E+00
  4.12203886E-02  1.58361119E+00
  4.13015894E-02  1.58366729E+00
  4.13827983E-02  1.58372328E+00
  4.14640153E-02  1.58377916E+00
  4.15452405E-02  1.58383495E+00
  4.16264738E-02  1.58389062E+00
  4.17077152E-02  1.58394619E+00
  4.17889647E-02  1.58400166E+00
  4.18702224E-02  1.58405702E+00
  4.19514882E-02  1.58411228E+00
  4.20327621E-02  1.58416743E+00
  4.21140442E-02  1.58422248E+00
  4.21953343E-02  1.58427742E+00
  4.22766326E-02  1.58433225E+00
  4.23579391E-02  1.58438698E+00
  4.24392536E-02  1.58444161E+00
  4.25205763E-02  1.58449613E+00
  4.26019072E-02  1.58455054E+00
  4.26832461E-02  1.58460485E+00
  4.27645932E-02  1.58465906E+00
  4.28459484E-02  1.58471316E+00
  4.29273118E-02  1.58476715E+00
  4.30086833E-02  1.58482104E+00
  4.30900630E-02  1.58487482E+00
  4.31714507E-02  1.58492850E+00
  4.32528467E-02  1.58498207E+00
  4.33342507E-02  1.58503553E+00
  4.34156629E-02  1.58508889E+00
  4.34970833E-02  1.58514215E+00
  4.35785117E-02  1.58519530E+00
  4.36599484E-02  1.58524834E+00
  4.37413931E-02  1.58530127E+00
  4.38228461E-02  1.58535410E+00
  4.39043071E-02  1.58540683E+00
  4.39857763E-02  1.58545945E+00
  4.40672537E-02  1.58551196E+00
  4.41487392E-02  1.58556437E+00
  4.42302328E-02  1.58561667E+00
  4.43117346E-02  1.58566886E+00
  4.43932446E-02  1.58572095E+00
  4.44747627E-02  1.58577293E+00
  4.45562890E-02  1.58582481E+00
  4.46378234E-02  1.58587658E+00
  4.47193659E-02  1.58592824E+00
  4.48009167E-02  1.58597980E+00
  4.48824755E-02  1.58603124E+00
  4.49640426E-02  1.58608259E+00
  4.50456177E-02  1.58613383E+00
  4.51272011E-02  1.58618496E+00
  4.52087926E-02  1.58623598E+00
  4.52903923E-02  1.58628690E+00
  4.53720001E-02  1.58633771E+00
  4.54536161E-02  1.58638841E+00
  4.55352402E-02  1.58643901E+00
  4.56168725E-02  1.58648950E+00
  4.56985130E-02  1.58653988E+00
  4.57801616E-02  1.58659016E+00
  4.58618184E-02  1.58664033E+00
  4.59434834E-02  1.58669039E+00
  4.60251565E-02  1.58674035E+00
  4.61068378E-02  1.58679020E+00
  4.61885273E-02  1.58683994E+00
  4.62702250E-02  1.58688958E+00
  4.63519308E-02  1.58693911E+00
  4.64336448E-02  1.58698853E+00
  4.65153669E-02  1.58703784E+00
  4.65970972E-02  1.58708705E+00
  4.66788357E-02  1.58713615E+00
  4.67605824E-02  1.58718514E+00
  4.68423373E-02  1.58723402E+00
  4.69241003E-02  1.58728280E+00
  4.70058715E-02  1.58733147E+00
  4.70876509E-02  1.58738003E+00
  4.71694384E-02  1.58742849E+00
  4.72512342E-02  1.58747683E+00
  4.73330381E-02  1.58752507E+00
  4.74148502E-02  1.58757320E+00
  4.74966705E-02  1.58762123E+00
  4.75784989E-02  1.58766915E+00
  4.76603356E-02  1.58771695E+00
  4.77421804E-02  1.58776466E+00
  4.78240334E-02  1.58781225E+00
  4.79058946E-02  1.58785973E+00
  4.79877640E-02  1.58790711E+00
  4.80696416E-02  1.58795438E+00
  4.81515274E-02  1.58800154E+00
  4.82334213E-02  1.58804860E+00
  4.83153234E-02  1.58809554E+00
  4.83972338E-02  1.58814238E+00
  4.84791523E-02  1.58818911E+00
  4.85610790E-02  1.58823573E+00
  4.86430139E-02  1.58828224E+00
  4.87249570E-02  1.58832865E+00
  4.88069083E-02  1.58837494E+00
  4.88888678E-02  1.58842113E+00
  4.89708355E-02  1.58846721E+00
  4.90528114E-02  1.58851319E+00
  4.91347955E-02  1.58855905E+00
  4.92167878E-02  1.58860480E+00
  4.92987882E-02  1.58865045E+00
  4.93807969E-02  1.58869599E+00
  4.94628138E-02  1.58874142E+00
  4.95448389E-02  1.58878674E+00
  4.96268722E-02  1.58883195E+00
  4.97089137E-02  1.58887705E+00
  4.97909634E-02  1.58892204E+00
  4.98730213E-02  1.58896693E+00
  4.99550874E-02  1.58901171E+00
  5.00371617E-02  1.58905638E+00
  5.01192442E-02  1.58910093E+00
