 ######################################################################
 #Data for Case=          16
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  9.99999975E-05   10001       328  1.79999995E+00  2.03075785E+00  1.66677017E+00  4.31027266E-02  1.11991760E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/U_AVG	
  2.52219490E-02  1.13156307E+00
  2.53015499E-02  1.13170774E+00
  2.53811588E-02  1.13185230E+00
  2.54607756E-02  1.13199676E+00
  2.55404003E-02  1.13214111E+00
  2.56200331E-02  1.13228536E+00
  2.56996737E-02  1.13242950E+00
  2.57793224E-02  1.13257354E+00
  2.58589790E-02  1.13271746E+00
  2.59386436E-02  1.13286129E+00
  2.60183162E-02  1.13300501E+00
  2.60979967E-02  1.13314863E+00
  2.61776852E-02  1.13329213E+00
  2.62573816E-02  1.13343554E+00
  2.63370861E-02  1.13357883E+00
  2.64167985E-02  1.13372203E+00
  2.64965188E-02  1.13386511E+00
  2.65762472E-02  1.13400809E+00
  2.66559835E-02  1.13415096E+00
  2.67357278E-02  1.13429373E+00
  2.68154800E-02  1.13443638E+00
  2.68952403E-02  1.13457894E+00
  2.69750085E-02  1.13472138E+00
  2.70547847E-02  1.13486372E+00
  2.71345689E-02  1.13500595E+00
  2.72143610E-02  1.13514808E+00
  2.72941611E-02  1.13529009E+00
  2.73739693E-02  1.13543201E+00
  2.74537853E-02  1.13557381E+00
  2.75336094E-02  1.13571551E+00
  2.76134415E-02  1.13585709E+00
  2.76932815E-02  1.13599858E+00
  2.77731295E-02  1.13613995E+00
  2.78529856E-02  1.13628122E+00
  2.79328495E-02  1.13642237E+00
  2.80127215E-02  1.13656342E+00
  2.80926015E-02  1.13670436E+00
  2.81724895E-02  1.13684520E+00
  2.82523854E-02  1.13698592E+00
  2.83322893E-02  1.13712654E+00
  2.84122013E-02  1.13726704E+00
  2.84921212E-02  1.13740745E+00
  2.85720491E-02  1.13754773E+00
  2.86519850E-02  1.13768792E+00
  2.87319289E-02  1.13782799E+00
  2.88118808E-02  1.13796796E+00
  2.88918407E-02  1.13810781E+00
  2.89718086E-02  1.13824756E+00
  2.90517845E-02  1.13838720E+00
  2.91317684E-02  1.13852673E+00
