 ######################################################################
 #Data for Case=          18
 #   ALPHA,             N,       ITERATIONS, VW,          UMAX ,       UAVG,           UTAU1,          UTAU2    
  #  9.99999975E-05    1001     10000  3.75000000E+00  3.89141528E+00  2.40556218E+00  4.07549113E-02  1.34681244E-01
 ######################################################################
 # YPAD(I)/H,     U(I)/UAVG	
  4.04081939E-01  1.07278779E+00
  4.05097606E-01  1.06947706E+00
  4.06113375E-01  1.06616234E+00
  4.07129245E-01  1.06283354E+00
  4.08145217E-01  1.05950075E+00
  4.09161291E-01  1.05615394E+00
  4.10177466E-01  1.05280315E+00
  4.11193743E-01  1.04943837E+00
  4.12210122E-01  1.04606963E+00
  4.13226602E-01  1.04268693E+00
  4.14243184E-01  1.03930029E+00
  4.15259867E-01  1.03589973E+00
  4.16276652E-01  1.03249525E+00
  4.17293539E-01  1.02907688E+00
  4.18310528E-01  1.02565461E+00
  4.19327618E-01  1.02221849E+00
  4.20344810E-01  1.01877847E+00
  4.21362103E-01  1.01532465E+00
  4.22379499E-01  1.01186695E+00
  4.23396996E-01  1.00839547E+00
  4.24414595E-01  1.00492014E+00
  4.25432296E-01  1.00143107E+00
  4.26450098E-01  9.97938162E-01
  4.27468002E-01  9.94431550E-01
  4.28486008E-01  9.90921117E-01
  4.29504116E-01  9.87397016E-01
  4.30522326E-01  9.83869113E-01
  4.31540637E-01  9.80327577E-01
  4.32559051E-01  9.76782258E-01
  4.33577566E-01  9.73223341E-01
  4.34596183E-01  9.69660660E-01
  4.35614902E-01  9.66084416E-01
  4.36633722E-01  9.62504428E-01
  4.37652645E-01  9.58910912E-01
  4.38671670E-01  9.55313671E-01
  4.39690796E-01  9.51702935E-01
  4.40710024E-01  9.48088497E-01
  4.41729355E-01  9.44460597E-01
  4.42748787E-01  9.40829015E-01
  4.43768321E-01  9.37184006E-01
  4.44787957E-01  9.33535336E-01
  4.45807695E-01  9.29873270E-01
  4.46827535E-01  9.26207567E-01
  4.47847477E-01  9.22528501E-01
  4.48867522E-01  9.18845820E-01
  4.49887668E-01  9.15149808E-01
  4.50907916E-01  9.11450204E-01
  4.51928266E-01  9.07737301E-01
  4.52948718E-01  9.04020829E-01
  4.53969272E-01  9.00291089E-01
  4.54989929E-01  8.96557805E-01
  4.56010687E-01  8.92811285E-01
  4.57031547E-01  8.89061244E-01
  4.58052510E-01  8.85297998E-01
  4.59073574E-01  8.81531256E-01
  4.60094741E-01  8.77751340E-01
  4.61116010E-01  8.73967952E-01
  4.62137381E-01  8.70171421E-01
  4.63158854E-01  8.66371443E-01
  4.64180429E-01  8.62558352E-01
  4.65202107E-01  8.58741840E-01
  4.66223887E-01  8.54912246E-01
  4.67245768E-01  8.51079256E-01
  4.68267752E-01  8.47233213E-01
  4.69289839E-01  8.43383801E-01
  4.70312027E-01  8.39521365E-01
  4.71334318E-01  8.35655587E-01
  4.72356710E-01  8.31776815E-01
  4.73379206E-01  8.27894727E-01
  4.74401803E-01  8.23999674E-01
  4.75424503E-01  8.20101332E-01
  4.76447305E-01  8.16190055E-01
  4.77470209E-01  8.12275516E-01
  4.78493215E-01  8.08348070E-01
  4.79516324E-01  8.04417390E-01
  4.80539535E-01  8.00473832E-01
  4.81562849E-01  7.96527066E-01
  4.82586264E-01  7.92567452E-01
  4.83609782E-01  7.88604659E-01
  4.84633403E-01  7.84629045E-01
  4.85657126E-01  7.80650279E-01
  4.86680951E-01  7.76658723E-01
  4.87704879E-01  7.72664042E-01
  4.88728909E-01  7.68656599E-01
  4.89753041E-01  7.64646059E-01
  4.90777276E-01  7.60622785E-01
  4.91801613E-01  7.56596444E-01
  4.92826053E-01  7.52557397E-01
  4.93850595E-01  7.48515310E-01
  4.94875240E-01  7.44460546E-01
  4.95899987E-01  7.40402771E-01
  4.96924836E-01  7.36332347E-01
  4.97949788E-01  7.32258940E-01
  4.98974843E-01  7.28172913E-01
  5.00000000E-01  7.24083931E-01
  5.01025157E-01  7.22290240E-01
  5.02050212E-01  7.20847375E-01
  5.03075164E-01  7.19802888E-01
  5.04100013E-01  7.18977938E-01
  5.05124760E-01  7.18318003E-01
  5.06149405E-01  7.17775447E-01
  5.07173947E-01  7.17321577E-01
  5.08198387E-01  7.16935484E-01
  5.09222724E-01  7.16602172E-01
  5.10246959E-01  7.16310541E-01
  5.11271091E-01  7.16052098E-01
  5.12295121E-01  7.15820380E-01
  5.13319049E-01  7.15610255E-01
  5.14342874E-01  7.15417744E-01
  5.15366597E-01  7.15239599E-01
  5.16390218E-01  7.15073276E-01
  5.17413736E-01  7.14916651E-01
  5.18437151E-01  7.14768056E-01
  5.19460465E-01  7.14626066E-01
  5.20483676E-01  7.14489569E-01
  5.21506785E-01  7.14357591E-01
  5.22529791E-01  7.14229381E-01
  5.23552695E-01  7.14104262E-01
  5.24575497E-01  7.13981725E-01
  5.25598197E-01  7.13861294E-01
  5.26620794E-01  7.13742621E-01
  5.27643290E-01  7.13625367E-01
  5.28665682E-01  7.13509296E-01
  5.29687973E-01  7.13394162E-01
  5.30710161E-01  7.13279808E-01
  5.31732248E-01  7.13166052E-01
  5.32754232E-01  7.13052791E-01
  5.33776113E-01  7.12939888E-01
  5.34797893E-01  7.12827280E-01
  5.35819571E-01  7.12714860E-01
  5.36841146E-01  7.12602591E-01
  5.37862619E-01  7.12490391E-01
  5.38883990E-01  7.12378240E-01
  5.39905259E-01  7.12266071E-01
  5.40926426E-01  7.12153880E-01
  5.41947490E-01  7.12041610E-01
  5.42968453E-01  7.11929266E-01
  5.43989313E-01  7.11816800E-01
  5.45010071E-01  7.11704222E-01
  5.46030728E-01  7.11591491E-01
  5.47051282E-01  7.11478621E-01
  5.48071734E-01  7.11365577E-01
  5.49092084E-01  7.11252375E-01
  5.50112332E-01  7.11138981E-01
  5.51132478E-01  7.11025417E-01
  5.52152523E-01  7.10911649E-01
  5.53172465E-01  7.10797701E-01
  5.54192305E-01  7.10683540E-01
  5.55212043E-01  7.10569192E-01
  5.56231679E-01  7.10454626E-01
  5.57251213E-01  7.10339867E-01
  5.58270645E-01  7.10224885E-01
  5.59289976E-01  7.10109707E-01
  5.60309204E-01  7.09994302E-01
  5.61328330E-01  7.09878697E-01
  5.62347355E-01  7.09762864E-01
  5.63366278E-01  7.09646829E-01
  5.64385098E-01  7.09530563E-01
  5.65403817E-01  7.09414093E-01
  5.66422434E-01  7.09297391E-01
  5.67440949E-01  7.09180483E-01
  5.68459363E-01  7.09063343E-01
  5.69477674E-01  7.08945994E-01
  5.70495884E-01  7.08828412E-01
  5.71513992E-01  7.08710621E-01
  5.72531998E-01  7.08592596E-01
  5.73549902E-01  7.08474360E-01
  5.74567704E-01  7.08355889E-01
  5.75585405E-01  7.08237206E-01
  5.76603004E-01  7.08118288E-01
  5.77620501E-01  7.07999157E-01
  5.78637897E-01  7.07879789E-01
  5.79655190E-01  7.07760207E-01
  5.80672382E-01  7.07640388E-01
  5.81689472E-01  7.07520353E-01
  5.82706461E-01  7.07400080E-01
  5.83723348E-01  7.07279590E-01
  5.84740133E-01  7.07158863E-01
  5.85756816E-01  7.07037915E-01
  5.86773398E-01  7.06916730E-01
  5.87789878E-01  7.06795323E-01
  5.88806257E-01  7.06673678E-01
  5.89822534E-01  7.06551809E-01
  5.90838709E-01  7.06429701E-01
  5.91854783E-01  7.06307368E-01
  5.92870755E-01  7.06184795E-01
  5.93886625E-01  7.06061995E-01
  5.94902394E-01  7.05938954E-01
  5.95918061E-01  7.05815684E-01
  5.96933627E-01  7.05692172E-01
  5.97949091E-01  7.05568428E-01
  5.98964454E-01  7.05444443E-01
  5.99979715E-01  7.05320223E-01
  6.00994875E-01  7.05195761E-01
  6.02009933E-01  7.05071061E-01
  6.03024889E-01  7.04946118E-01
  6.04039744E-01  7.04820934E-01
  6.05054498E-01  7.04695508E-01
  6.06069150E-01  7.04569837E-01
  6.07083701E-01  7.04443922E-01
  6.08098150E-01  7.04317760E-01
  6.09112498E-01  7.04191354E-01
  6.10126744E-01  7.04064697E-01
  6.11140889E-01  7.03937794E-01
  6.12154933E-01  7.03810637E-01
  6.13168875E-01  7.03683234E-01
  6.14182716E-01  7.03555573E-01
  6.15196455E-01  7.03427665E-01
  6.16210093E-01  7.03299495E-01
  6.17223630E-01  7.03171077E-01
  6.18237065E-01  7.03042392E-01
  6.19250399E-01  7.02913459E-01
  6.20263631E-01  7.02784256E-01
  6.21276763E-01  7.02654802E-01
  6.22289793E-01  7.02525074E-01
  6.23302721E-01  7.02395095E-01
  6.24315549E-01  7.02264836E-01
  6.25328275E-01  7.02134325E-01
  6.26340900E-01  7.02003530E-01
  6.27353423E-01  7.01872482E-01
  6.28365846E-01  7.01741144E-01
  6.29378167E-01  7.01609552E-01
  6.30390387E-01  7.01477665E-01
  6.31402505E-01  7.01345522E-01
  6.32414523E-01  7.01213079E-01
  6.33426439E-01  7.01080379E-01
  6.34438254E-01  7.00947373E-01
  6.35449968E-01  7.00814109E-01
  6.36461581E-01  7.00680533E-01
  6.37473093E-01  7.00546698E-01
  6.38484503E-01  7.00412543E-01
  6.39495812E-01  7.00278129E-01
  6.40507020E-01  7.00143389E-01
  6.41518128E-01  7.00008387E-01
  6.42529133E-01  6.99873053E-01
  6.43540038E-01  6.99737455E-01
  6.44550842E-01  6.99601519E-01
  6.45561545E-01  6.99465317E-01
  6.46572146E-01  6.99328770E-01
  6.47582647E-01  6.99191955E-01
  6.48593047E-01  6.99054787E-01
  6.49603345E-01  6.98917351E-01
  6.50613543E-01  6.98779553E-01
  6.51623639E-01  6.98641484E-01
  6.52633635E-01  6.98503046E-01
  6.53643529E-01  6.98364336E-01
  6.54653322E-01  6.98225249E-01
  6.55663015E-01  6.98085887E-01
  6.56672606E-01  6.97946138E-01
  6.57682097E-01  6.97806114E-01
  6.58691487E-01  6.97665694E-01
  6.59700775E-01  6.97524996E-01
  6.60709963E-01  6.97383893E-01
  6.61719050E-01  6.97242509E-01
  6.62728036E-01  6.97100712E-01
  6.63736921E-01  6.96958632E-01
  6.64745705E-01  6.96816127E-01
  6.65754389E-01  6.96673338E-01
  6.66762971E-01  6.96530115E-01
  6.67771453E-01  6.96386604E-01
  6.68779833E-01  6.96242648E-01
  6.69788113E-01  6.96098402E-01
  6.70796293E-01  6.95953700E-01
  6.71804371E-01  6.95808706E-01
  6.72812348E-01  6.95663244E-01
  6.73820225E-01  6.95517487E-01
  6.74828001E-01  6.95371251E-01
  6.75835676E-01  6.95224718E-01
  6.76843250E-01  6.95077693E-01
  6.77850724E-01  6.94930367E-01
  6.78858097E-01  6.94782538E-01
  6.79865369E-01  6.94634405E-01
  6.80872540E-01  6.94485755E-01
  6.81879611E-01  6.94336799E-01
  6.82886581E-01  6.94187312E-01
  6.83893451E-01  6.94037516E-01
  6.84900219E-01  6.93887176E-01
  6.85906887E-01  6.93736522E-01
  6.86913454E-01  6.93585311E-01
  6.87919921E-01  6.93433783E-01
  6.88926287E-01  6.93281682E-01
  6.89932553E-01  6.93129260E-01
  6.90938717E-01  6.92976251E-01
  6.91944781E-01  6.92822918E-01
  6.92950745E-01  6.92668982E-01
  6.93956608E-01  6.92514717E-01
  6.94962370E-01  6.92359833E-01
  6.95968032E-01  6.92204616E-01
  6.96973593E-01  6.92048764E-01
  6.97979054E-01  6.91892575E-01
  6.98984414E-01  6.91735733E-01
  6.99989674E-01  6.91578550E-01
  7.00994833E-01  6.91420697E-01
  7.01999891E-01  6.91262498E-01
  7.03004850E-01  6.91103610E-01
